kode,keterangan_bersih
1271,tani kopi kelompok cakup giat tani kopi dalam giat olah lahan tanam pelihara panen giat pascapanen rangkai giat
1272,tani tanam teh kelompok cakup giat tani teh dalam giat olah lahan tanam pelihara panen giat pascapanen rangkai giat kelompok cakup giat tanam tanam teh hasil benih biji
1273,tani kakao kelompok cakup giat tani kakao dalam giat olah lahan tanam pelihara panen giat pascapanen rangkai giat kelompok cakup giat tanam tanam kakao hasil benih biji
1279,tani tanam bahan minum kelompok cakup giat tani tanam bahan minum dalam giat olah lahan tanam pelihara panen giat pascapanen rangkai giat
1281,tani lada kelompok cakup giat tani lada merica piper spp dalam giat olah lahan tanam pelihara panen giat pascapanen rangkai giat kelompok cakup giat tani cabai jawa cabai jamu
1282,tani cengkih kelompok cakup giat tani cengkih dalam giat olah lahan tanam pelihara panen giat pascapanen rangkai giat kelompok cakup giat tanam tanam cengkih hasil benih biji
1283,tani pala kelompok cakup giat tani pala dalam giat olah lahan tanam pelihara panen giat pascapanen satu giat kelompok cakup giat tanam tanam pala hasil benih biji
1284,tani tanam aromatik segar kelompok cakup giat tani tanam aromatik segar serai wangi nilam mentol kenanga ilang ilang gandapura lawang gaharu tani pohon kayu putih hasil daun kayu putih tani tanam aromatik segar cakup giat olah lahan semai pelihara panen giat pascapanen rangkai giat kelompok cakup giat giat tani tanam aromatik segar kawasan hutan
1285,tani tanam obat rimpang kelompok cakup giat tani tanam obat rimpang tanam bahan pestisida nabati jenis jahe kunyit temulawak temugiring temuireng temukunci kencur lengkuas lempuyang dlingo giat tani tanam obat biofarmaka rimpang cakup giat olah lahan semai tanam pelihara panen giat pascapanen rangkai giat kelompok cakup giat tanam tanam obat rimpang hasil benih biji
1286,tani tanam obat nonrimpang kelompok cakup giat tani tanam obat nonrimpang tanam bahan pestisida nabati jenis kapulaga lidah buaya sambiloto mengkudu pace mahkota dewa serai hijau giat tani tanam obat nonrimpang cakup giat olah lahan tanam pelihara panen giat pascapanen rangkai giat kelompok cakup giat tanam tanam obat nonrimpang hasil benih biji
1287,tani tanam narkotika tanam obat larang kelompok cakup tani narkotika tanam obat larang dalam giat olah lahan tanam pelihara panen giat pascapanen rangkai giat
1289,tani tanam rempah rempah aromatik segar kelompok cakup giat tani tanam rempah kemiri vanili kayu manis ginseng kina adas pinang gambir tani rempah rempah aromatik segar cakup giat olah lahan tanam pelihara panen giat pascapanen rangkai giat kelompok cakup giat tanam tanam rempah rempah aromatik segar hasil benih biji
1291,tani pohon karet tanam hasil getah kelompok cakup giat tani tanam hasil getah karet tanam hasil getah damar pinus kemenyan tani pohon karet tanam hasil getah cakup giat olah lahan tanam pelihara panen giat pascapanen rangkai giat kelompok cakup giat giat tani karet tanam hasil getah kawasan hutan giat tanam tanam karet tanam hasil getah hasil benih biji
1299,tani tanam tahun ytdl kelompok cakup giat tani tanam tahun cemara tanam jarak pagar aren kaliandra gamal tanam utama anyam bambu rotan tanam daur pendek kembang trubusan tanam energi poplar dedalu tani tanam tahun cakup giat olah lahan tanam pelihara panen giat pascapanen rangkai giat kelompok cakup giat giat tani tanam tahun kawasan hutan tanam tanam hasil benih biji
