kode,keterangan_bersih
1262,tani kelapa sawit kelompok cakup giat tani kelapa sawit masuk dalam giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat kelompok juga cakup giat tanam tanam kelapa sawit hasil benih upa biji
1269,tani buah oleagin lain kelompok cakup giat tani buah oleagin lain zaitun masuk dalam giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat kelompok juga cakup giat tanam tanam oleagin lain hasil benih upa biji
1271,tani kopi kelompok cakup giat tani kopi masuk dalam giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat
1272,tani tanam teh kelompok cakup giat tani teh masuk dalam giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat kelompok juga cakup giat tanam tanam teh hasil benih upa biji
1273,tani kakao kelompok cakup giat tani kakao masuk dalam giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat kelompok juga cakup giat tanam tanam kakao hasil benih upa biji
1279,tani tanam bahan minum lain kelompok cakup giat tani tanam bahan minum lain masuk dalam giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat
1281,tani lada kelompok cakup giat tani lada merica piper spp masuk dalam giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat kelompok juga cakup giat tani cabai jawa cabai jamu
1282,tani cengkih kelompok cakup giat tani cengkih masuk dalam giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat kelompok juga cakup giat tanam tanam cengkih hasil benih upa biji
1283,tani pala kelompok cakup giat tani pala masuk dalam giat olah lahan tanam pelihara panen giat pascapanen laku satu satu giat kelompok juga cakup giat tanam tanam pala hasil benih upa biji
1284,tani tanam aromatik segar kelompok cakup giat tani tanam aromatik segar serai wangi nilam mentol kenanga ilang ilang gandapura lawang gaharu tani pohon kayu putih hasil daun kayu putih tani tanam aromatik segar maksud cakup giat olah lahan semai pelihara panen giat pascapanen laku satu rangkai giat kelompok juga cakup giat giat tani tanam aromatik segar laku kawasan hutan
1285,tani tanam obat rimpang kelompok cakup giat tani tanam obat rimpang masuk tanam bahan pestisida nabati jenis jahe kunyit temulawak temugiring temuireng temukunci kencur lengkuas lempuyang dlingo giat tani tanam obat biofarmaka rimpang maksud cakup giat olah lahan semai tanam pelihara panen giat pascapanen yang laku satu rangkai giat kelompok juga cakup giat tanam tanam obat rimpang hasil benih upa biji
1286,tani tanam obat nonrimpang kelompok cakup giat tani tanam obat nonrimpang masuk tanam bahan pestisida nabati jenis kapulaga lidah buaya sambiloto mengkudu pace mahkota dewa serai hijau giat tani tanam obat nonrimpang maksud cakup giat olah lahan tanam pelihara panen giat pascapanen yang laku satu rangkai giat kelompok juga cakup giat tanam tanam obat nonrimpang hasil benih upa biji
1287,tani tanam narkotika tanam obat larang kelompok cakup tani narkotika tanam obat larang masuk dalam giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat
1289,tani tanam rempah rempah aromatik segar lain kelompok cakup giat tani tanam rempah lain kemiri vanili kayu manis ginseng kina adas pinang gambir tani rempah rempah aromatik segar lain maksud cakup giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat kelompok juga cakup giat tanam tanam rempah rempah aromatik segar lain hasil benih upa biji
1291,tani pohon karet tanam hasil getah lain kelompok cakup giat tani tanam hasil getah karet tanam hasil getah lain misal damar pinus kemenyan tani pohon karet tanam hasil getah lain maksud cakup giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat kelompok juga cakup giat giat tani karet tanam hasil getah lain laku kawasan hutan giat tanam tanam karet tanam hasil getah lain hasil benih upa biji
1299,tani tanam tahun lain ytdl kelompok cakup giat tani tanam tahun lain cemara tanam jarak pagar aren kaliandra gamal tanam utama anyam bambu rotan tanam daur pendek kembang lalu trubusan tanam energi poplar dedalu tani tanam tahun lain maksud cakup giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat kelompok juga cakup giat giat tani tanam tahun sebut laku kawasan hutan tanam tanam sebut hasil benih upa biji
1301,tani tanam hias kelompok cakup giat tani budi daya tanam hias daun tanam hias bunga hidup bonsai suplir kuping gajah helikonia pisang pisang dracaena filodendron monstera cordyline anturium daun pakis aglonema difenbacia sansifera lidah mertua caladium keladi palem tanam hias bunga anggrek mawar adenium kamboja jepang anturium bunga euforbia ixora soka kelompok juga cakup tanam tumbuh tuju ornamental tanah umput transplantasi giat tani tanam hias maksud cakup giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat
1302,tangkar tumbuh liar kelompok cakup giat tangkar tumbuh liar masuk biak vegetatif lalu batang stek potong bibit langsung pengembangbiakan tanam
1309,biak tanam lain kelompok cakup produksi semua benih tanam yang cakup kelompok cara vegetatif masuk batang stek potong bibit langsung banyak tanam buat batang okulasi tanam kelompok juga cakup giat tanam tumbuh tanam tanam tumbuh hidup umbi umbi akar akar potong stek cangkok spawn jamur kebun bibit tanam kebun bibit tanam hutan giat semai cabai masuk kelompok
1411,budi daya bibit sapi potong kelompok cakup giat budi daya sapi potong upa gemuk hasil sapi siap potong giat bibit hasil ternak bibit sapi potong semen embrio
1412,budi daya bibit sapi perah kelompok cakup giat budi daya sapi perah upa gemuk produksi susu giat bibit hasil bibit ternak sapi perah semen embrio
1413,budi daya bibit kerbau potong kelompok cakup giat budi daya kerbau potong upa gemuk hasil kerbau siap potong bibit hasil bibit ternak kerbau potong semen embrio
1414,budi daya bibit kerbau perah kelompok cakup giat budi daya kerbau perah upa gemuk produksi susu giat bibit hasil bibit ternak kerbau perah semen embrio
1420,terna kuda jenis kelompok cakup giat budi daya kuda hasil kuda kuda potong kuda perah kuda pacu kuda tunggang kuda tarik kuda kavaleri kuda polo kuda sayang bagal hinni jenis giat bibit kuda jenis hasil bibit kuda jenis semen embrio kelompok juga cakup produksi susu kuda jenis kelompok tidak cakup kelola kandang kuda balap kuda olahraga
1430,terna unta jenis kelompok cakup giat budi daya hasil unta potong unta perah hewan jenis llama alpaka vicunas guanacos giat bibit hasil bibit unta jenis semen embrio kelompok juga cakup produksi susu unta hewan jenis
1441,budi daya bibit domba potong kelompok cakup giat budi daya domba potong upa gemuk hasil domba siap potong giat bibit hasil bibit ternak domba potong semen embrio
1442,budi daya bibit kambing potong kelompok cakup giat budi daya upa gemuk hasil kambing potong giat bibit hasil bibit ternak kambing potong semen embrio
1443,budi daya bibit kambing perah kelompok cakup giat budi daya hasil susu giat bibit hasil bibit ternak kambing perah semen embrio
1444,budi daya bibit domba perah kelompok cakup giat budi daya domba perah hasil susu giat bibit hasil bibit ternak domba perah semen embrio
1445,produksi bulu domba mentah raw wool kelompok cakup giat terna laku produksi bulu domba wol mentah
1450,terna babi kelompok cakup giat budi daya babi upa gemuk hasil babi siap potong giat bibit babi hasil bibit ternak babi semen embrio
1461,budi daya ayam ras daging kelompok cakup giat budi daya ayam ras hasil ayam daging
